Number,Advertising budget,Sales
1,23.5,34.7
2,17.8,29.1
3,42.1,53.6
4,35.6,44.4
5,12.9,21.5
6,6.7,14.6
7,8.2,17.1
8,15.6,26.4
9,10.3,20.1
10,22.6,34.7
11,29.1,37.5
12,32.1,42.8
13,20.5,33.2
14,18.2,27.9
15,12.3,19.3
16,28.2,38.8
17,14.7,22.6
18,9.5,18.2
19,23.3,36.1
20,11.6,19.9
21,25.2,37.3
22,15.8,26.4
23,17.7,28.2
24,8.6,16.4
25,24.5,35.4
26,11.4,21.3
27,19.1,30.9
28,14.5,25.1
29,20.3,31.9
30,12.2,20.6
31,19.4,29.4
32,16.6,27.8
33,21.9,33.8
34,16.2,28.3
35,9.7,16.9
36,11.8,21.6
37,14.1,25.2
38,17.3,26.7
39,8.9,16.7
40,12.1,20.1
